발표시각,지역,해당지역,특보종류,특보수준,특보명령,발효시각
2020-07-29 16:10:00,부산·울산·경상남도,부산,호우,주의보,해제,2020-07-29 16:10:00
2020-07-30 03:10:00,부산·울산·경상남도,부산,호우,주의보,발표,2020-07-30 03:10:00
2020-07-30 04:10:00,부산·울산·경상남도,부산,호우,주의보,해제,2020-07-30 04:10:00
2020-07-30 11:10:00,부산·울산·경상남도,"울산, 부산, 경상남도(진주, 양산, 사천, 합천, 거창, 함양, 산청, 하동, 창녕, 함안, 의령, 밀양, 김해, 창원)",폭염,주의보,발표,2020-07-31 11:00:00
2020-08-01 11:00:00,부산·울산·경상남도,"부산, 경상남도(양산, 김해, 창원)",폭염,경보,변경,2020-08-01 11:00:00
2020-08-03 11:00:00,부산·울산·경상남도,"부산, 경상남도(양산, 김해, 창원)",폭염,주의보,변경,2020-08-03 11:00:00
2020-08-05 16:00:00,부산·울산·경상남도,"울산, 부산, 경상남도",폭염,주의보,해제,2020-08-05 16:00:00
2020-08-06 04:00:00,부산·울산·경상남도,"울산, 부산, 경상남도(남해, 거제, 통영)",강풍,주의보,발표,2020-08-06 04:00:00
2020-08-06 16:00:00,부산·울산·경상남도,"울산, 부산, 경상남도(남해, 거제, 통영)",강풍,주의보,해제,2020-08-06 16:00:00
2020-08-07 17:50:00,부산·울산·경상남도,"울산, 부산, 경상남도(양산, 김해, 창원)",호우,주의보,발표,2020-08-07 17:50:00
2020-08-07 19:10:00,부산·울산·경상남도,부산,호우,경보,변경,2020-08-07 19:10:00
2020-08-08 01:10:00,부산·울산·경상남도,부산,강풍,주의보,발표,2020-08-08 01:10:00
2020-08-08 16:00:00,부산·울산·경상남도,부산,강풍,주의보,해제,2020-08-08 16:00:00
2020-08-09 09:00:00,부산·울산·경상남도,"부산, 경상남도(진주, 거제, 통영, 합천, 거창, 함양, 산청, 하동, 창녕, 의령)",호우,경보,해제,2020-08-09 09:00:00
2020-08-09 18:00:00,부산·울산·경상남도,"부산, 경상남도(거제)",호우,주의보,발표,2020-08-09 20:00:00
2020-08-10 05:00:00,부산·울산·경상남도,"부산, 경상남도(거제)",호우,주의보,해제,2020-08-10 05:00:00
2020-08-10 11:00:00,부산·울산·경상남도,"울산, 부산, 경상남도(양산, 고성, 거창, 함양, 창녕, 함안, 밀양, 김해, 창원), 동해남부앞바다(울산앞바다)",태풍,주의보,발표,2020-08-10 11:00:00
2020-08-10 16:00:00,부산·울산·경상남도,"울산, 부산, 경상남도",폭염,주의보,발표,2020-08-11 11:00:00
2020-08-10 16:55:00,부산·울산·경상남도,"울산, 부산, 경상남도, 남해동부전해상, 동해남부앞바다(울산앞바다)",태풍,주의보,해제,2020-08-10 16:55:00
2020-08-10 17:00:00,부산·울산·경상남도,"울산, 부산, 경상남도(거제)",강풍,주의보,발표,2020-08-10 17:00:00
2020-08-10 21:30:00,부산·울산·경상남도,"울산, 부산, 경상남도(거제)",강풍,주의보,해제,2020-08-10 21:30:00
2020-08-13 13:40:00,부산·울산·경상남도,"부산, 경상남도(양산, 사천, 함양, 김해)",폭염,경보,변경,2020-08-13 13:40:00
2020-08-21 16:00:00,부산·울산·경상남도,"부산, 경상남도(진주, 양산, 사천, 합천, 거창, 함양, 산청, 하동, 창녕, 함안, 의령, 밀양, 김해, 창원)",폭염,주의보,변경,2020-08-21 16:00:00
2020-08-31 16:30:00,부산·울산·경상남도,"부산, 경상남도(남해, 거제, 합천, 거창, 함양, 산청, 의령, 밀양, 창원)",폭염,주의보,해제,2020-08-31 16:30:00
2020-09-02 07:30:00,부산·울산·경상남도,"울산, 부산, 경상남도(창녕)",호우,주의보,발표,2020-09-02 07:30:00
2020-09-02 10:00:00,부산·울산·경상남도,"울산, 부산, 경상남도(진주, 양산, 고성, 거제, 사천, 통영, 산청, 하동, 창녕, 함안, 의령, 밀양, 김해, 창원), 남해동부앞바다(거제시동부앞바다, 경남중부남해앞바다, 부산앞바다)",태풍,주의보,변경,2020-09-02 12:00:00
2020-09-02 10:00:00,부산·울산·경상남도,"울산, 부산, 경상남도(진주, 양산, 고성, 거제, 사천, 통영, 산청, 하동, 창녕, 함안, 의령, 밀양, 김해, 창원), 남해동부앞바다(거제시동부앞바다, 경남중부남해앞바다, 부산앞바다)",태풍,주의보,변경,2020-09-02 14:00:00
2020-09-02 17:00:00,부산·울산·경상남도,"울산, 부산, 경상남도(양산, 남해, 고성, 거제, 사천, 통영, 김해, 창원), 남해동부앞바다, 동해남부앞바다(울산앞바다)",태풍,경보,변경,2020-09-02 20:00:00
2020-09-03 06:30:00,부산·울산·경상남도,"울산, 부산, 경상남도(거제, 통영)",강풍,주의보,변경,2020-09-03 09:00:00
2020-09-03 06:30:00,부산·울산·경상남도,"남해동부먼바다, 남해동부앞바다(거제시동부앞바다, 부산앞바다), 동해남부앞바다(울산앞바다)",풍랑,경보,변경,2020-09-03 09:00:00
2020-09-03 08:30:00,부산·울산·경상남도,"남해동부앞바다(거제시동부앞바다, 부산앞바다)",풍랑,주의보,변경,2020-09-03 08:30:00
2020-09-03 08:30:00,부산·울산·경상남도,"남해동부앞바다(거제시동부앞바다, 부산앞바다)",풍랑,주의보,변경,2020-09-03 10:00:00
2020-09-03 14:00:00,부산·울산·경상남도,"울산, 부산, 경상남도(거제, 통영)",강풍,주의보,해제,2020-09-03 16:00:00
2020-09-06 14:00:00,부산·울산·경상남도,"울산, 부산, 경상남도(남해, 거제, 통영)",강풍,주의보,발표,2020-09-06 15:00:00
2020-09-06 23:00:00,부산·울산·경상남도,"울산, 부산, 경상남도(남해, 거제, 통영), 남해동부앞바다, 동해남부앞바다(울산앞바다)",태풍,주의보,변경,2020-09-07 00:00:00
2020-09-07 03:00:00,부산·울산·경상남도,"울산, 부산, 경상남도, 남해동부앞바다, 동해남부앞바다(울산앞바다)",태풍,경보,변경,2020-09-07 03:00:00
2020-09-07 14:00:00,부산·울산·경상남도,"울산, 부산, 경상남도(거제, 통영)",강풍,주의보,변경,2020-09-07 16:00:00
2020-09-07 16:10:00,부산·울산·경상남도,"부산앞바다( 서부평수구역 ), 경남서부남해앞바다( 동부평수구역 , 서부평수구역 , 남부평수구역 , 남해군연안바다 ), 경남중부남해앞바다( 평수구역 , 연안바다 ), 거제시동부앞바다( 연안바다 )",풍랑,주의보,해제,2020-09-07 18:00:00
2020-09-07 18:00:00,부산·울산·경상남도,"울산, 부산, 경상남도(거제, 통영)",강풍,주의보,해제,2020-09-07 19:00:00
2020-09-23 03:00:00,부산·울산·경상남도,"남해동부앞바다(거제시동부앞바다, 부산앞바다), 동해남부앞바다(울산앞바다)",풍랑,주의보,발표,2020-09-23 06:00:00
